Test_ID,Cement,Slag,Flyash,Water,SuperPlasticizer,CoarseAggregate,FineAggregate,Age,CSinMPa
C3417,540,0,0,162,2.5,1040,676,28,79.99
P7675,540,0,0,162,2.5,1055,676,28,61.89
Y5697,332.5,142.5,0,228,0,932,594,270,40.27
R3821,332.5,142.5,0,228,0,932,594,365,41.05
P3773,198.6,132.4,0,192,0,978.4,825.5,360,44.3
F3999,266,114,0,228,0,932,670,90,47.03
H4483,380,95,0,228,0,932,594,365,43.7
R9818,380,95,0,228,0,932,594,28,36.45
Y7731,266,114,0,228,0,932,670,28,45.85
R2464,475,0,0,228,0,932,594,28,39.29
M1307,198.6,132.4,0,192,0,978.4,825.5,90,38.07
I6640,198.6,132.4,0,192,0,978.4,825.5,28,28.02
F3122,427.5,47.5,0,228,0,932,594,270,43.01
T9627,190,190,0,228,0,932,670,90,42.33
C8371,304,76,0,228,0,932,670,28,47.81
E7170,380,0,0,228,0,932,670,90,52.91
F7961,139.6,209.4,0,192,0,1047,806.9,90,39.36
U8356,342,38,0,228,0,932,670,365,56.14
G3334,380,95,0,228,0,932,594,90,40.56
G1786,475,0,0,228,0,932,594,180,42.62
F6242,427.5,47.5,0,228,0,932,594,180,41.84
A7952,139.6,209.4,0,192,0,1047,806.9,28,28.24
Y5998,139.6,209.4,0,192,0,1047,806.9,3,8.06
Q6882,139.6,209.4,0,192,0,1047,806.9,180,44.21
Y6373,380,0,0,228,0,932,670,365,52.52
Q2491,380,0,0,228,0,932,670,270,53.3
Z9179,380,95,0,228,0,932,594,270,41.15
R9254,342,38,0,228,0,932,670,180,52.12
U7662,427.5,47.5,0,228,0,932,594,28,37.43
R7553,475,0,0,228,0,932,594,7,38.6
N1649,304,76,0,228,0,932,670,365,55.26
S9291,266,114,0,228,0,932,670,365,52.91
J7035,198.6,132.4,0,192,0,978.4,825.5,180,41.72
W2512,475,0,0,228,0,932,594,270,42.13
C8126,190,190,0,228,0,932,670,365,53.69
D3884,237.5,237.5,0,228,0,932,594,270,38.41
D4846,237.5,237.5,0,228,0,932,594,28,30.08
X9363,332.5,142.5,0,228,0,932,594,90,37.72
J5460,475,0,0,228,0,932,594,90,42.23
J5515,237.5,237.5,0,228,0,932,594,180,36.25
